LOCALES,,,,,,,,,,,,,,DEPARTAMENTOS,,,,,,,,,,
DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,USDM2,PESOSM2,ANTIG,EN_GALERIA,COTIZ_,TRIMESTRE_,BARRIOS_,COMUNA_,,,Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
,,,,,,,,,,,,,,Cachimayo al 700 0,38,98000,6272000,2579,165053,1,64,SEGUNDO,CABALLITO,6
,,,,,,,,,,,,,,Av Directorio 1200,38,90000,5760000,2368,151579,2,64,SEGUNDO,CABALLITO,6
,,,,,,,,,,,,,,AV. DIRECTORIO 900,76,97000,6208000,2553,163368,2,64,SEGUNDO,CABALLITO,6
,,,,,,,,,,,,,,Directorio 1000,39,125000,8000000,3205,205128,2,64,SEGUNDO,CABALLITO,6
,,,,,,,,,,,,,,Carabobo 600,36,74000,4736000,2056,131556,1,64,SEGUNDO,FLORES SUR,7
,,,,,,,,,,,,,,AV. CARABOBO 600,36,74000,4736000,2056,131556,1,64,SEGUNDO,FLORES SUR,7
,,,,,,,,,,,,,,AV.CARABOBO 600,41,85500,5472000,2311,147892,1,64,SEGUNDO,FLORES SUR,7
,,,,,,,,,,,,,,AV.CARABOBO 600,41,83500,5344000,2257,144432,1,64,SEGUNDO,FLORES SUR,7
,,,,,,,,,,,,,,AV.CARABOBO 600,38,77500,4960000,2040,130526,1,64,SEGUNDO,FLORES SUR,7
,,,,,,,,,,,,,,Av. de los Incas y Barzana    3° 0,63,118000,7552000,3806,243613,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Behring 2600,31,85000,5440000,2742,175484,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Gral Juan B Arismendi 2600,44,103000,6592000,3323,212645,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,av de los incas 0,31,69000,4416000,2226,142452,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Gral Juan B Arismendi 2600,45,99000,6336000,3194,204387,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Campillo 3100,34,83000,5312000,2677,171355,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Departamento Av de los Incas 5400 0,36,90950,5820800,2934,187768,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Departamento Av de los Incas 5400 0,36,99950,6396800,3224,206348,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Campillo 3100,34,81000,5184000,2613,167226,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Campillo 3100,34,78000,4992000,2516,161032,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Departamento Av de los Incas 5400 0,36,97950,6268800,3160,202219,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Llerena 3100,31,84000,5376000,2710,173419,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Av de Los Incas al 4800 0,31,75000,4800000,2419,154839,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Av de Los Incas al 4800 0,31,65000,4160000,2097,134194,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Arismendi 2400 0,34,82000,5248000,2562,164000,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Av. de los Incas y Barzana 4° 0,64,95000,6080000,2969,190000,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,BAUNESS 1275,32,89672,5739008,2802,179344,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Gral Juan B Arismendi 2600,45,98500,6304000,3078,197000,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,J De Andonaegui 1217,35,70000,4480000,2188,140000,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Bucarelli 1200 0,35,89000,5696000,2781,178000,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Avenida de los Incas 4800,36,78900,5049600,2466,157800,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Av. De Los Constituyentes 3200 0,33,95000,6080000,2879,184242,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,BHERING 2619,46,132000,8448000,4000,256000,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Llerena al 2659 0,33,92000,5888000,2788,178424,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,BAUNESS 1177,51,94600,6054400,2782,178071,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Llerena 2500,34,85000,5440000,2500,160000,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Triunvirato 3700,34,99000,6336000,2912,186353,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Av de los Incas al 4800 0,34,80000,5120000,2353,150588,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Gamarra 1200 0,61,99500,6368000,2926,187294,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Behring 2501,38,99500,6368000,2926,187294,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Torrent al 1200 0,34,115000,7360000,3382,216471,1,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Behring 2600,37,105000,6720000,3088,197647,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,Av de Los Incas al 4800 0,34,82000,5248000,2412,154353,2,64,SEGUNDO,PARQUE CHAS,15
,,,,,,,,,,,,,,San Martin 3200,35,78000,4992000,2516,161032,1,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Linneo 1905 0,32,65000,4160000,2031,130000,2,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Paysandu 1800 0,33,69500,4448000,2106,134788,2,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,añasco 2400 0,34,93000,5952000,2735,175059,2,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Fragata Sarmiento y Cucha Cucha 0,38,70000,4480000,2059,131765,1,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Av San Martin 1800,34,67000,4288000,1971,126118,2,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Nicolas Granada 1651 0,35,85200,5452800,2434,155794,1,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Granada 1651 0,35,88200,5644800,2520,161280,1,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,San Martin 2800 0,35,84000,5376000,2400,153600,2,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Pje N Granada 1651,40,85200,5452800,2434,155794,1,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Cucha Cucha 2500,38,89500,5728000,2557,163657,2,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Granada 1651 0,35,73500,4704000,2100,134400,1,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,AV SAN MARTIN 2300,61,125000,8000000,3571,228571,2,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,Nicolas Granada 1651 0,35,73130,4680320,2089,133723,1,64,SEGUNDO,PATERNAL,15
,,,,,,,,,,,,,,BORDABEHERE 2900 0,41,95000,6080000,2436,155897,2,64,SEGUNDO,AGRONOMIA,15
,,,,,,,,,,,,,,Av J Garcia Del Rio 2585,38,135000,8640000,4219,270000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Avenida Cabildo 3862,32,121510,7776640,3797,243020,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Estomba 3600,32,93175,5963200,2912,186350,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Crisólogo Larralde 5100,32,85000,5440000,2656,170000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Ricardo Balbin  al 3600 0,36,125500,8032000,3922,251000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Estomba al 3600 0,32,35000,2240000,1094,70000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Estomba 3680,32,70000,4480000,2188,140000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Naon 3618,32,93636,5992704,2926,187272,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,"ACHA, MARIANO 4354",32,105000,6720000,3281,210000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Plaza 3967,32,120000,7680000,3750,240000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Paroissien 2640,49,110268,7057152,3446,220536,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Paroissien 2640,41,106184,6795776,3318,212368,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Paroissien 2640,41,108226,6926464,3382,216452,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Paroissien 2640,32,110268,7057152,3446,220536,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Balbin  3600 0,41,156500,10016000,4891,313000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,0,32,93636,5992704,2926,187272,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Washington esq Paroissien 0,47,98000,6272000,3062,196000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,QUINTANA 4600,35,100000,6400000,3125,200000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Balbin al 4300 0,32,103000,6592000,3219,206000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Balbin 3695 0,32,133500,8544000,4172,267000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Ricardo Balbín 4200 0,32,112736,7215104,3523,225472,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Ricardo Balbín 4200 0,32,114504,7328256,3578,229008,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,"Quintana 4650, Saavedra, CABA 0",35,99000,6336000,3094,198000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Balbin  al 4300 0,32,94000,6016000,2938,188000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,AV. RICARDO BALBIN 4300,33,89500,5728000,2745,175706,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Crisologo Larralde al 2400 0,37,115000,7360000,3485,223030,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Manzanares 3600 0,38,96000,6144000,2909,186182,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Manzanares 3600 0,38,98000,6272000,2970,190061,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Ramallo al 4400 0,33,98000,6272000,2970,190061,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Balbin  3600 0,33,133500,8544000,4046,258909,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto al 4000 0,47,105000,6720000,3182,203636,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Balbin 3695 0,33,192000,12288000,5818,372364,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Ruiz Huidobro 3400,33,70000,4480000,2121,135758,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Arias 3040,37,83000,5312000,2515,160970,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,PLAZA 4043,37,89000,5696000,2697,172606,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,GARCÍA DEL RÍO AL 4000 0,33,79000,5056000,2394,153212,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Vidal al 3600 0,33,84000,5376000,2546,162909,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Balbin al 4100 0,33,107734,6894976,3265,208939,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Balbin 4300 0,39,90000,5760000,2727,174545,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Ricardo Balbin  al 3600 0,55,192000,12288000,5818,372364,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,PLAZA 4043,57,108000,6912000,3273,209455,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av Ricardo Balbin 4338,36,89500,5728000,2712,173576,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,0,33,117811,7539904,3570,228482,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,PLAZA 4043,37,88000,5632000,2667,170667,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,0,33,115588,7397632,3503,224171,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Paroissien 4464 0,33,92612,5927168,2806,179611,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,PLAZA 4043,37,87000,5568000,2636,168727,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,0,33,113365,7255360,3435,219859,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,GARCIA DEL RIO al 3800 0,35,95000,6080000,2879,184242,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Ruiz Huidobro 2472,34,147000,9408000,4324,276706,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Paroissien 3700 depto 202 0,38,99500,6368000,2926,187294,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Avenida Cabildo 3862,34,123529,7905856,3633,232525,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Deheza 3145,34,120000,7680000,3529,225882,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,MILLER 4400,37,98000,6272000,2882,184471,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Machain 3600 0,34,135000,8640000,3971,254118,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Balbin al 4200 0,34,112700,7212800,3315,212141,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,ramallo al 3100 0,38,99259,6352576,2919,186840,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Machain 3600 0,34,115000,7360000,3382,216471,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto 4021,34,119000,7616000,3500,224000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,MENUELA PEDRAZA 3700 0,40,95000,6080000,2794,178824,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,LUGONES 4266,36,95000,6080000,2794,178824,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Manzanares 3200 0,40,95000,6080000,2794,178824,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,LUGONES 4900 0,39,79800,5107200,2347,150212,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,RUIZ HUIDOBRO 4630 0,34,116000,7424000,3412,218353,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto 4021,34,100000,6400000,2941,188235,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av. Balbin 4289,34,112632,7208448,3313,212013,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Tronador 3910,34,95000,6080000,2794,178824,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,0,38,84600,5414400,2488,159247,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Lugones 4900 0,40,79800,5107200,2347,150212,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,MILLER 4400 0,38,98000,6272000,2882,184471,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Mariano Acha 4100,34,88000,5632000,2588,165647,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,R.S.Naon 3500 e/Nuñez y Manuela Pedraza 0,34,91000,5824000,2676,171294,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,BESARES 4500,38,93500,5984000,2750,176000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,PAROISSIEN 4646,34,90000,5760000,2647,169412,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,0,34,98000,6272000,2882,184471,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Arias al 3019 0,38,84600,5414400,2488,159247,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Machain 3600 0,34,119000,7616000,3500,224000,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto al 4400 (Correa y Ramallo) 0,35,75000,4800000,2143,137143,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Paroissien 3700 depto 109 0,41,109000,6976000,3114,199314,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Ciudad De La Paz 3700,38,115000,7360000,3286,210286,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto al 4300 0,35,105000,6720000,3000,192000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Romulo Naon 0,38,99900,6393600,2854,182674,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto 4417 0,35,98000,6272000,2800,179200,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Ruiz Huidobro 3000 0,47,145000,9280000,4143,265143,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,ZAPIOLA 4300 0,35,90000,5760000,2571,164571,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto al 4400 0,35,105000,6720000,3000,192000,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,"Plaza al 3900, entre Balbín y Paroissien 0",35,118000,7552000,3371,215771,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,C Correa 3500,35,76000,4864000,2171,138971,2,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pintos al 4300 0,40,109000,6976000,3114,199314,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Av J Garcia Del Rio 3982,39,89500,5728000,2557,163657,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,Pinto 4417 (entre Correa y Ramallo) 0,35,88400,5657600,2526,161646,1,64,SEGUNDO,SAAVEDRA,12
,,,,,,,,,,,,,,CORDOBA AV. 5400,32,120000,7680000,3750,240000,1,64,SEGUNDO,CHACARITA,15
,,,,,,,,,,,,,,CASTILLO 1100 Y DARWIN 0,33,90000,5760000,2727,174545,1,64,SEGUNDO,CHACARITA,15
,,,,,,,,,,,,,,CORDOBA 5400,34,135960,8701440,3968,253982,1,64,SEGUNDO,CHACARITA,15
,,,,,,,,,,,,,,"Av Cordoba  5202, Piso 8 D esq Uriarte 0",36,119000,7616000,3606,230788,1,64,SEGUNDO,PALERMO,14
,,,,,,,,,,,,,,Av Cordoba 5212,39,117000,7488000,3343,213943,1,64,SEGUNDO,PALERMO,14
,,,,,,,,,,,,,,Cordoba 5151  7°A 0,35,143465,9181760,4099,262336,1,64,SEGUNDO,PALERMO,14
,,,,,,,,,,,,,,Cordoba 5151 9°C 0,35,135446,8668544,3870,247673,1,64,SEGUNDO,PALERMO,14
,,,,,,,,,,,,,,Tres Arroyos 800,36,93000,5952000,3000,192000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Remedios De Escalada De San Martin 900,33,90000,5760000,2903,185806,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Gurruchaga entre Corrientes y Camargo 0,31,112000,7168000,3613,231226,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Villaroel 1100 0,35,78000,4992000,2516,161032,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Acevedo al 600 0,31,73000,4672000,2355,150710,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,REMEDIOS DE ESCALADA al 900 0,44,90000,5760000,2903,185806,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,SERRANO 600,34,129294,8274816,4171,266930,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,JUAN B JUSTO al 2300 0,36,106000,6784000,3419,218839,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Dr L Belaustegui 837,31,73000,4672000,2355,150710,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Julian Alvarez al 600 0,35,120000,7680000,3871,247742,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,"DRAGO, LUIS MARIA 200",47,82000,5248000,2645,169290,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,ACEVEDO 600,31,75000,4800000,2419,154839,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Estado de Israel al 4600 0,40,90500,5792000,2919,186839,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Acevedo 400 0,33,82000,5248000,2645,169290,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,M. Gandhi 700,35,96000,6144000,3085,197429,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Vera 138,31,81000,5184000,2585,165464,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Vera 138,31,80000,5120000,2554,163422,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Thames 207,31,83000,5312000,2645,169280,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Darwin 800,31,89000,5696000,2834,181344,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Gurruchaga 400,68,95000,6080000,2969,190000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Lavalleja al 600 (Loyola y Aguirre) 0,34,99000,6336000,3094,198000,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Gurruchaga 600,36,106000,6784000,3312,212000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Pje Dr R Rojas 400,32,85000,5440000,2656,170000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,"Av. Dr. Honorio Pueyrredón 1100, Buenos Aires 0",40,95202,6092928,2975,190404,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Remedios de Escalada 960,36,95000,6080000,2969,190000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,"Av. Dr. Honorio Pueyrredón 1100, Buenos Aires 0",40,100306,6419584,3135,200612,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,J Ramirez De Velasco 1070,37,118000,7552000,3688,236000,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Godoy Cruz 1351,34,105000,6720000,3281,210000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Acevedo 500,38,92000,5888000,2875,184000,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Av. Angel Gallardo 300,70,105000,6720000,3281,210000,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,MAHATMA GANDHI 400,36,110000,7040000,3438,220000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Barragan 400,32,75000,4800000,2344,150000,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Gurruchaga 600,36,105000,6720000,3281,210000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Gurruchaga 600,32,105000,6720000,3281,210000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Lavalleja 245 0,32,79900,5113600,2497,159800,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Vera al 900 0,35,91000,5824000,2844,182000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Gurruchaga 400,35,105000,6720000,3281,210000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,MURILLO 900,32,75787,4850368,2368,151574,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,MURILLO 900,32,78548,5027072,2455,157096,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,LAVALLEJA 100,33,89000,5696000,2781,178000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Julián Álvarez 646,32,140000,8960000,4375,280000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,MURILLO 900,45,80000,5120000,2500,160000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,REMEDIOS ESCALADA DE SAN MARTIN 960 9 B 0,36,95000,6080000,2969,190000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Estado de Israel al 4200 0,34,105000,6720000,3281,210000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Julián Alvarez entre Aguirre y Loyola 0,32,140000,8960000,4375,280000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,PADILLA 600,32,99000,6336000,3094,198000,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Julián Álvarez 646,32,110500,7072000,3453,221000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,"DRAGO, LUIS MARIA 200",42,90000,5760000,2812,180000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,PADILLA 600,32,78800,5043200,2462,157600,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,SERRANO 600,35,136016,8705024,4250,272032,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,REMEDIOS ESCALADA DE SAN MARTÍN 960 11 C 0,36,95000,6080000,2969,190000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,gurruchaga 421,32,99000,6336000,3094,198000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Lavalleja 100,35,89000,5696000,2781,178000,2,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Julián Alvarez entre Aguirre y Loyola 0,32,125000,8000000,3906,250000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,LOYOLA 100,35,94000,6016000,2938,188000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Av. Luis Maria Drago al 300 0,34,83000,5312000,2594,166000,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,estado de israel 4200 0,47,101493,6495552,3172,202986,1,64,SEGUNDO,VILLA CRESPO,15
,,,,,,,,,,,,,,Julián Alvarez entre Aguirre y Loyola 0,32,110500,7072000,3453,221000,1,64,SEGUNDO,VILLA CRESPO,15
